Ticker,Name,Asset Type,Sector,Units,Average Buy Price,Current Price,Annual Dividend Per Unit,Franking %
CBA.AX,Commonwealth Bank,Share,Financials,200,88.50,131.48,4.24,100
BHP.AX,BHP Group,Share,Resources,150,40.20,48.17,2.31,100
WDS.AX,Woodside Energy,Share,Energy,400,28.10,28.97,1.54,100
WES.AX,Wesfarmers,Share,Industrials,100,56.30,66.42,2.12,100
VAS.AX,Vanguard Australian Shares ETF,ETF,Australian ETF,500,88.60,95.21,4.72,75
VGS.AX,Vanguard International Shares ETF,ETF,International ETF,300,102.30,111.92,4.94,0
VHY.AX,Vanguard High Yield Australian Shares ETF,ETF,Dividend ETF,400,68.20,71.45,4.45,80
A200.AX,Betashares Australia 200 ETF,ETF,Australian ETF,250,118.00,132.60,5.20,75
IVV.AX,iShares S&P 500 ETF,ETF,International ETF,80,43.00,58.90,0.86,0
CASH,Cash Position,Cash,Cash,1,12000.00,12000.00,240.00,0
